# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x","cf"
#zone, t="CFL3D"
x,cf
 -0.619334745E+01,  0.576219428E-02
 -0.600935411E+01,  0.387308164E-02
 -0.583668375E+01,  0.379556790E-02
 -0.567417955E+01,  0.364113320E-02
 -0.552083397E+01,  0.351079251E-02
 -0.537576628E+01,  0.341555569E-02
 -0.523820162E+01,  0.334402197E-02
 -0.510745764E+01,  0.328713679E-02
 -0.498292923E+01,  0.323992665E-02
 -0.486407709E+01,  0.319969351E-02
 -0.475042200E+01,  0.316478987E-02
 -0.464153337E+01,  0.313409977E-02
 -0.453702450E+01,  0.310681597E-02
 -0.443654728E+01,  0.308232568E-02
 -0.433978605E+01,  0.306016882E-02
 -0.424645615E+01,  0.304000336E-02
 -0.415629768E+01,  0.302155130E-02
 -0.406907320E+01,  0.300458120E-02
 -0.398456693E+01,  0.298890215E-02
 -0.390258050E+01,  0.297435559E-02
 -0.382293153E+01,  0.296080788E-02
 -0.374545217E+01,  0.294814561E-02
 -0.366998768E+01,  0.293627195E-02
 -0.359639406E+01,  0.292510376E-02
 -0.352453852E+01,  0.291456841E-02
 -0.345429730E+01,  0.290460302E-02
 -0.338555455E+01,  0.289515313E-02
 -0.331820297E+01,  0.288617029E-02
 -0.325214076E+01,  0.287761143E-02
 -0.318727350E+01,  0.286943931E-02
 -0.312351131E+01,  0.286162016E-02
 -0.306077003E+01,  0.285412394E-02
 -0.299896955E+01,  0.284692366E-02
 -0.293803430E+01,  0.283999532E-02
 -0.287789154E+01,  0.283331634E-02
 -0.281847286E+01,  0.282686646E-02
 -0.275971198E+01,  0.282062800E-02
 -0.270154548E+01,  0.281458488E-02
 -0.264391279E+01,  0.280872243E-02
 -0.258675456E+01,  0.280302740E-02
 -0.253001380E+01,  0.279748673E-02
 -0.247363496E+01,  0.279208762E-02
 -0.241756415E+01,  0.278681610E-02
 -0.236174798E+01,  0.278166169E-02
 -0.230613446E+01,  0.277661718E-02
 -0.225067258E+01,  0.277167605E-02
 -0.219531107E+01,  0.276683155E-02
 -0.214000010E+01,  0.276207575E-02
 -0.208462691E+01,  0.275738863E-02
 -0.202902246E+01,  0.275275577E-02
 -0.197327018E+01,  0.274818414E-02
 -0.191745472E+01,  0.274367817E-02
 -0.186166084E+01,  0.273923669E-02
 -0.180597353E+01,  0.273486134E-02
 -0.175047672E+01,  0.273055094E-02
 -0.169525337E+01,  0.272630388E-02
 -0.164038503E+01,  0.272211758E-02
 -0.158595085E+01,  0.271798787E-02
 -0.153202736E+01,  0.271390728E-02
 -0.147868836E+01,  0.270986604E-02
 -0.142600429E+01,  0.270585110E-02
 -0.137404156E+01,  0.270184642E-02
 -0.132286310E+01,  0.269783009E-02
 -0.127252734E+01,  0.269377395E-02
 -0.122308826E+01,  0.268964353E-02
 -0.117459524E+01,  0.268539693E-02
 -0.112709320E+01,  0.268098316E-02
 -0.108062208E+01,  0.267634098E-02
 -0.103521693E+01,  0.267139752E-02
 -0.990908384E+00,  0.266606826E-02
 -0.947722137E+00,  0.266025728E-02
 -0.905679286E+00,  0.265385653E-02
 -0.864796400E+00,  0.264674658E-02
 -0.825085878E+00,  0.263879704E-02
 -0.786555827E+00,  0.262986752E-02
 -0.749210417E+00,  0.261981157E-02
 -0.713050067E+00,  0.260847644E-02
 -0.678071737E+00,  0.259570661E-02
 -0.644268990E+00,  0.258134142E-02
 -0.611632407E+00,  0.256521581E-02
 -0.580149889E+00,  0.254716910E-02
 -0.549806595E+00,  0.252705952E-02
 -0.520585537E+00,  0.250475807E-02
 -0.492467672E+00,  0.248014019E-02
 -0.465432048E+00,  0.245308247E-02
 -0.439456165E+00,  0.242346153E-02
 -0.414516211E+00,  0.239115674E-02
 -0.390587121E+00,  0.235607312E-02
 -0.367642909E+00,  0.231813919E-02
 -0.345656812E+00,  0.227728020E-02
 -0.324601471E+00,  0.223342236E-02
 -0.304449022E+00,  0.218650419E-02
 -0.285171390E+00,  0.213645538E-02
 -0.266740263E+00,  0.208318303E-02
 -0.249127343E+00,  0.202658493E-02
 -0.232304394E+00,  0.196660333E-02
 -0.216243356E+00,  0.190328772E-02
 -0.200916439E+00,  0.183676148E-02
 -0.186296210E+00,  0.176712824E-02
 -0.172355637E+00,  0.169444631E-02
 -0.159068182E+00,  0.161874818E-02
 -0.146407843E+00,  0.154006178E-02
 -0.134349182E+00,  0.145841856E-02
 -0.122867383E+00,  0.137385144E-02
 -0.111938283E+00,  0.128638686E-02
 -0.101538368E+00,  0.119603286E-02
 -0.916448236E-01,  0.110277534E-02
 -0.822355375E-01,  0.100658543E-02
 -0.732891038E-01,  0.907488633E-03
 -0.647848397E-01,  0.805636577E-03
 -0.567027517E-01,  0.701787299E-03
 -0.490235835E-01,  0.597131031E-03
 -0.417287759E-01,  0.493017316E-03
 -0.348004699E-01,  0.392595830E-03
 -0.282214936E-01,  0.298921717E-03
 -0.219753571E-01,  0.218651854E-03
 -0.160462335E-01,  0.147638697E-03
 -0.104189422E-01,  0.113900234E-03
 -0.507893739E-02, -0.196954243E-04
 -0.122914907E-04, -0.129106484E-03
  0.497128349E-02,  0.258208966E-04
  0.998154841E-02,  0.152862398E-03
  0.149957435E-01,  0.224254632E-03
  0.199981220E-01,  0.362072402E-03
  0.249761958E-01,  0.511525082E-03
  0.299211107E-01,  0.691561610E-03
  0.348279700E-01,  0.897227437E-03
  0.396955051E-01,  0.113204168E-02
  0.445257090E-01,  0.139506650E-02
  0.493250340E-01,  0.168283400E-02
  0.541010313E-01,  0.199476653E-02
  0.588617660E-01,  0.233310251E-02
  0.636180714E-01,  0.268990500E-02
  0.683841035E-01,  0.305668940E-02
  0.731693283E-01,  0.343763269E-02
  0.779847056E-01,  0.382321887E-02
  0.828438774E-01,  0.420311606E-02
  0.877538100E-01,  0.457959948E-02
  0.927271768E-01,  0.491404487E-02
  0.977799892E-01,  0.517587271E-02
  0.102917023E+00,  0.534713175E-02
  0.108149432E+00,  0.541926967E-02
  0.113467485E+00,  0.545069249E-02
  0.118862294E+00,  0.548531674E-02
  0.124323472E+00,  0.552902231E-02
  0.129844084E+00,  0.558581762E-02
  0.135417029E+00,  0.564958993E-02
  0.141038105E+00,  0.573107088E-02
  0.146698698E+00,  0.584574696E-02
  0.152396247E+00,  0.598624861E-02
  0.158126146E+00,  0.614243466E-02
  0.163889363E+00,  0.627277512E-02
  0.169688642E+00,  0.635267748E-02
  0.175522014E+00,  0.639364170E-02
  0.181389764E+00,  0.640128739E-02
  0.187287062E+00,  0.640094280E-02
  0.193210572E+00,  0.640191184E-02
  0.199156567E+00,  0.639998214E-02
  0.205121696E+00,  0.639690412E-02
  0.211102754E+00,  0.638870196E-02
  0.217096850E+00,  0.637569884E-02
  0.223100647E+00,  0.636112643E-02
  0.229111239E+00,  0.634567579E-02
  0.235125527E+00,  0.633284217E-02
  0.241140470E+00,  0.632354571E-02
  0.247153491E+00,  0.631654589E-02
  0.253161699E+00,  0.631232234E-02
  0.259162903E+00,  0.630869903E-02
  0.265154481E+00,  0.630508270E-02
  0.271134406E+00,  0.630142493E-02
  0.277100235E+00,  0.629748823E-02
  0.283050030E+00,  0.629387517E-02
  0.288981408E+00,  0.629124651E-02
  0.294892609E+00,  0.629001996E-02
  0.300781280E+00,  0.629249820E-02
  0.306645721E+00,  0.629752548E-02
  0.312483907E+00,  0.630530855E-02
  0.318294078E+00,  0.631539477E-02
  0.324074626E+00,  0.632440764E-02
  0.329823911E+00,  0.633237325E-02
  0.335540354E+00,  0.633879285E-02
  0.341222495E+00,  0.634312630E-02
  0.346868813E+00,  0.634637102E-02
  0.352477819E+00,  0.634893728E-02
  0.358048141E+00,  0.635053404E-02
  0.363578379E+00,  0.635178247E-02
  0.369067252E+00,  0.635210704E-02
  0.374513447E+00,  0.635180390E-02
  0.379915804E+00,  0.635045581E-02
  0.385273069E+00,  0.634808931E-02
  0.390584201E+00,  0.634445762E-02
  0.395848095E+00,  0.634041755E-02
  0.401063681E+00,  0.633675000E-02
  0.406230032E+00,  0.633246405E-02
  0.411346197E+00,  0.632805796E-02
  0.416411340E+00,  0.632292079E-02
  0.421424568E+00,  0.631784089E-02
  0.426385194E+00,  0.631202385E-02
  0.431292474E+00,  0.630446943E-02
  0.436145753E+00,  0.629510265E-02
  0.440944403E+00,  0.628559897E-02
  0.445687830E+00,  0.627614511E-02
  0.450375557E+00,  0.626709964E-02
  0.455007046E+00,  0.626075501E-02
  0.459581882E+00,  0.625277124E-02
  0.464099735E+00,  0.623988081E-02
  0.468560249E+00,  0.622359803E-02
  0.472963125E+00,  0.620353688E-02
  0.477308184E+00,  0.618038746E-02
  0.481595099E+00,  0.615964085E-02
  0.485823750E+00,  0.614064001E-02
  0.489994019E+00,  0.612358144E-02
  0.494105756E+00,  0.610905606E-02
  0.498158962E+00,  0.609408179E-02
  0.502153635E+00,  0.607854594E-02
  0.506089807E+00,  0.606111716E-02
  0.509967566E+00,  0.604101270E-02
  0.513786912E+00,  0.601876387E-02
  0.517548084E+00,  0.599429011E-02
  0.521251202E+00,  0.596913649E-02
  0.524896443E+00,  0.594517123E-02
  0.528484046E+00,  0.592230214E-02
