# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 -6.389999866E+00, 1.505606901E-02
 -6.193347454E+00, 1.100295316E-02
 -6.009354115E+00, 6.914074067E-03
 -5.836683750E+00, 6.055767182E-03
 -5.674179554E+00, 4.804069642E-03
 -5.520833969E+00, 3.957683686E-03
 -5.375766277E+00, 3.182823537E-03
 -5.238201618E+00, 2.515251515E-03
 -5.107457638E+00, 1.895363093E-03
 -4.982929230E+00, 1.311237575E-03
 -4.864077091E+00, 7.747957716E-04
 -4.750422001E+00, 2.502739662E-04
 -4.641533375E+00, -2.265631774E-04
 -4.537024498E+00, -6.914794212E-04
 -4.436547279E+00, -1.132553793E-03
 -4.339786053E+00, -1.561707235E-03
 -4.246456146E+00, -1.967018703E-03
 -4.156297684E+00, -2.348488430E-03
 -4.069073200E+00, -2.729958156E-03
 -3.984566927E+00, -3.087586025E-03
 -3.902580500E+00, -3.433292964E-03
 -3.822931528E+00, -3.767078975E-03
 -3.745452166E+00, -4.088944290E-03
 -3.669987679E+00, -4.410809372E-03
 -3.596394062E+00, -4.708832595E-03
 -3.524538517E+00, -5.006855819E-03
 -3.454297304E+00, -5.304879043E-03
 -3.385554552E+00, -5.579060409E-03
 -3.318202972E+00, -5.853241775E-03
 -3.252140760E+00, -6.127423141E-03
 -3.187273502E+00, -6.389683578E-03
 -3.123511314E+00, -6.651944015E-03
 -3.060770035E+00, -6.902283523E-03
 -2.998969555E+00, -7.152623031E-03
 -2.938034296E+00, -7.391041610E-03
 -2.877891541E+00, -7.629460189E-03
 -2.818472862E+00, -7.867878303E-03
 -2.759711981E+00, -8.106296882E-03
 -2.701545477E+00, -8.332794532E-03
 -2.643912792E+00, -8.559292182E-03
 -2.586754560E+00, -8.785789832E-03
 -2.530013800E+00, -9.000366554E-03
 -2.473634958E+00, -9.226864204E-03
 -2.417564154E+00, -9.441440925E-03
 -2.361747980E+00, -9.656017646E-03
 -2.306134462E+00, -9.870594367E-03
 -2.250672579E+00, -1.008517109E-02
 -2.195311069E+00, -1.029974781E-02
 -2.140000105E+00, -1.050240360E-02
 -2.084626913E+00, -1.071698032E-02
 -2.029022455E+00, -1.093155704E-02
 -1.973270178E+00, -1.113421284E-02
 -1.917454720E+00, -1.133686863E-02
 -1.861660838E+00, -1.153952442E-02
 -1.805973530E+00, -1.174218021E-02
 -1.750476718E+00, -1.193291508E-02
 -1.695253372E+00, -1.212364994E-02
 -1.640385032E+00, -1.230246387E-02
 -1.585950851E+00, -1.248127781E-02
 -1.532027364E+00, -1.264817081E-02
 -1.478688359E+00, -1.280314289E-02
 -1.426004291E+00, -1.294619404E-02
 -1.374041557E+00, -1.306540333E-02
 -1.322863102E+00, -1.317269169E-02
 -1.272527337E+00, -1.325613819E-02
 -1.223088264E+00, -1.330382191E-02
 -1.174595237E+00, -1.332766376E-02
 -1.127093196E+00, -1.329190098E-02
 -1.080622077E+00, -1.322037540E-02
 -1.035216928E+00, -1.307732426E-02
 -9.909083843E-01, -1.286274754E-02
 -9.477221370E-01, -1.256472431E-02
 -9.056792855E-01, -1.215941273E-02
 -8.647964001E-01, -1.164681278E-02
 -8.250858784E-01, -1.099116169E-02
 -7.865558267E-01, -1.016861759E-02
 -7.492104173E-01, -9.179180488E-03
 -7.130500674E-01, -7.999008521E-03
 -6.780717373E-01, -6.580418441E-03
 -6.442689896E-01, -4.935330246E-03
 -6.116324067E-01, -3.016060451E-03
 -5.801498890E-01, -8.106887108E-04
 -5.498065948E-01, 1.692707301E-03
 -5.205855370E-01, 4.517967347E-03
