# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x/c","y/c","u'v'/(Uref^2)"
x,y,uv,u
 -2.140000105E+00, 7.713619561E-05, -6.789164672E-06,  9.952103347E-02
 -2.140000105E+00, 1.361542847E-03, -1.286823419E-03,  5.262184143E-01
 -2.140000105E+00, 2.645949367E-03, -1.324931625E-03,  5.987225175E-01
 -2.140000105E+00, 3.930355888E-03, -1.328881714E-03,  6.398246288E-01
 -2.140000105E+00, 5.214762874E-03, -1.324227313E-03,  6.687688828E-01
 -2.140000105E+00, 6.499169394E-03, -1.315724454E-03,  6.912915707E-01
 -2.140000105E+00, 7.783575915E-03, -1.304967212E-03,  7.098445296E-01
 -2.140000105E+00, 9.067982435E-03, -1.292636618E-03,  7.256713510E-01
 -2.140000105E+00, 1.035238896E-02, -1.279028831E-03,  7.395756245E-01
 -2.140000105E+00, 1.163679548E-02, -1.264347695E-03,  7.520183325E-01
 -2.140000105E+00, 1.292120293E-02, -1.248673652E-03,  7.633396387E-01
 -2.140000105E+00, 1.420560945E-02, -1.232087496E-03,  7.737523913E-01
 -2.140000105E+00, 1.549001597E-02, -1.214613672E-03,  7.834295630E-01
 -2.140000105E+00, 1.677442156E-02, -1.196261845E-03,  7.925153971E-01
 -2.140000105E+00, 1.805882901E-02, -1.177049358E-03,  8.010773063E-01
 -2.140000105E+00, 1.934323646E-02, -1.156959799E-03,  8.092275858E-01
 -2.140000105E+00, 2.062764205E-02, -1.136549050E-03,  8.170329928E-01
 -2.140000105E+00, 2.191204950E-02, -1.114351442E-03,  8.245388269E-01
 -2.140000105E+00, 2.319645509E-02, -1.090919599E-03,  8.318296671E-01
 -2.140000105E+00, 2.448086254E-02, -1.066488912E-03,  8.389509916E-01
 -2.140000105E+00, 2.576526813E-02, -1.041049720E-03,  8.459110856E-01
 -2.140000105E+00, 2.704967558E-02, -1.014515758E-03,  8.527336121E-01
 -2.140000105E+00, 2.833408304E-02, -9.868051857E-04,  8.594429493E-01
 -2.140000105E+00, 2.961848862E-02, -9.578305180E-04,  8.660556674E-01
 -2.140000105E+00, 3.090289608E-02, -9.274903568E-04,  8.725902438E-01
 -2.140000105E+00, 3.218730167E-02, -8.956710226E-04,  8.790657520E-01
 -2.140000105E+00, 3.347170725E-02, -8.622566238E-04,  8.855004311E-01
 -2.140000105E+00, 3.475611657E-02, -8.271508268E-04,  8.919096589E-01
 -2.140000105E+00, 3.604052216E-02, -7.903034566E-04,  8.983045220E-01
 -2.140000105E+00, 3.732492775E-02, -7.517344202E-04,  9.046882987E-01
 -2.140000105E+00, 3.860933334E-02, -7.115358603E-04,  9.110541940E-01
 -2.140000105E+00, 3.989374265E-02, -6.696035853E-04,  9.173826575E-01
 -2.140000105E+00, 4.117814824E-02, -6.262806128E-04,  9.236529469E-01
 -2.140000105E+00, 4.246255383E-02, -5.824697437E-04,  9.298100471E-01
 -2.140000105E+00, 4.374696314E-02, -5.385586410E-04,  9.357496500E-01
 -2.140000105E+00, 4.503136873E-02, -4.960823571E-04,  9.414908290E-01
 -2.140000105E+00, 4.631577432E-02, -4.558282963E-04,  9.469844103E-01
 -2.140000105E+00, 4.760017991E-02, -4.168960440E-04,  9.520841241E-01
 -2.140000105E+00, 4.888458923E-02, -3.779381514E-04,  9.570177197E-01
 -2.140000105E+00, 5.016899481E-02, -3.371849016E-04,  9.617007375E-01
 -2.140000105E+00, 5.145340040E-02, -2.945231390E-04,  9.662223458E-01
 -2.140000105E+00, 5.273780972E-02, -2.537102264E-04,  9.706628919E-01
 -2.140000105E+00, 5.402221531E-02, -2.133508387E-04,  9.748720527E-01
 -2.140000105E+00, 5.530662090E-02, -1.733151876E-04,  9.790054560E-01
 -2.140000105E+00, 5.659102648E-02, -1.339049486E-04,  9.828263521E-01
 -2.140000105E+00, 5.787543580E-02, -9.645300452E-05,  9.864137769E-01
 -2.140000105E+00, 5.915984139E-02, -6.295531057E-05,  9.894855022E-01
 -2.140000105E+00, 6.044424698E-02, -3.711163663E-05,  9.920811057E-01
 -2.140000105E+00, 6.172865629E-02, -1.731534212E-05,  9.938653111E-01
 -2.140000105E+00, 6.301306188E-02, -8.424068255E-06,  9.952262640E-01
 -2.140000105E+00, 6.429746747E-02, -1.809110699E-06,  9.957792759E-01
 -2.140000105E+00, 6.558187306E-02, -8.568244994E-07,  9.962148070E-01
 -2.140000105E+00, 6.686627865E-02, -2.389823273E-08,  9.962568879E-01
 -2.140000105E+00, 6.815068424E-02, -1.253346760E-08,  9.962977767E-01
 -2.140000105E+00, 6.943509728E-02, -1.165439856E-09,  9.962921143E-01
 -2.140000105E+00, 7.071950287E-02, 1.666293215E-10 ,  9.962863922E-01
 -2.140000105E+00, 7.200390846E-02, 4.496658948E-11 ,  9.962860346E-01
 -2.140000105E+00, 7.328831404E-02, -1.250399610E-11,  9.962877035E-01
 -2.140000105E+00, 7.457271963E-02, -1.121360556E-11,  9.962894320E-01
 -2.140000105E+00, 7.585712522E-02, -1.000888955E-11,  9.962912202E-01
 -2.140000105E+00, 7.714153081E-02, -9.962845653E-12,  9.962929487E-01
 -2.140000105E+00, 7.842594385E-02, -9.916804357E-12,  9.962947369E-01
 -2.140000105E+00, 7.971034944E-02, -9.824983709E-12,  9.962965250E-01
 -2.140000105E+00, 8.099475503E-02, -9.689014348E-12,  9.962983131E-01
 -2.140000105E+00, 8.227916062E-02, -9.553040650E-12,  9.963000417E-01
 -2.140000105E+00, 8.356356621E-02, -9.501375381E-12,  9.963018298E-01
 -2.140000105E+00, 8.484797180E-02, -9.465987022E-12,  9.963035583E-01
 -2.140000105E+00, 8.613237739E-02, -9.428839653E-12,  9.963052273E-01
 -2.140000105E+00, 8.741679043E-02, -9.359200047E-12,  9.963068962E-01
 -2.140000105E+00, 8.870119601E-02, -9.289560440E-12,  9.963085651E-01
