#NASA wall-mounted hump experimental data
#variables="Y, mm","U, m/s"
#zone, t="hump exp data"
y,u
 0.26670, 17.11760
 0.90170, 17.69780
 1.53670, 21.34070
 2.17170, 22.89070
 2.80670, 23.95880
 3.44170, 24.72360
 4.07670, 25.42590
 4.71170, 26.04080
 5.34670, 26.44700
 5.98170, 26.96620
 6.61670, 27.40510
 7.25170, 27.75920
 7.88670, 28.06580
 8.52170, 28.45830
 9.15670, 28.75390
 9.79170, 29.18000
10.42670, 29.49140
11.06170, 29.61910
11.69670, 29.90630
12.33170, 30.21990
12.96670, 30.44290
13.60170, 30.67690
14.23670, 30.92600
14.87170, 31.20260
15.50670, 31.35540
16.14170, 31.66420
16.77670, 31.77210
17.41170, 31.92660
18.04670, 32.23410
18.68170, 32.37540
19.31670, 32.55830
19.95170, 32.75290
20.58670, 32.90950
21.22170, 33.10370
21.85670, 33.22910
22.49170, 33.34550
23.12670, 33.47890
23.76170, 33.59420
24.39670, 33.70220
25.03170, 33.80020
25.66670, 33.95360
26.30170, 34.00510
26.93670, 34.10310
27.57170, 34.16270
28.20670, 34.20410
28.84170, 34.25450
29.47670, 34.39060
30.11170, 34.42500
30.74670, 34.41180
31.38170, 34.50240
32.01670, 34.46880
32.65170, 34.53760
33.28670, 34.57520
33.92170, 34.58490
34.55670, 34.59290
35.19170, 34.58330
35.82670, 34.63220
36.46170, 34.61510
37.09670, 34.62550
37.73170, 34.64130
38.36670, 34.63780
39.00170, 34.64440
39.63670, 34.69140
40.27170, 34.69770
40.90670, 34.70450
41.54170, 34.64890
42.17670, 34.67150
42.81170, 34.69100
43.44670, 34.67710
44.08170, 34.68030
44.71670, 34.69580
45.35170, 34.70250
45.98670, 34.69310
46.62170, 34.67280
47.25670, 34.71580
47.89170, 34.70340
48.52670, 34.70070
49.16170, 34.68850
49.79670, 34.69900
50.43170, 34.71790
51.06670, 34.69920
51.70170, 34.71550
52.33670, 34.66980
52.97170, 34.70330
53.60670, 34.67170
54.24170, 34.69110
54.87670, 34.70110
55.51170, 34.72230
56.14670, 34.71120
56.78170, 34.71750
57.41670, 34.72660
58.05170, 34.74300
58.68670, 34.72850
59.32170, 34.72430
59.95670, 34.72100
60.59170, 34.72760
61.22670, 34.72430
61.86170, 34.72420
62.49670, 34.72960
63.13170, 34.70740
